0,1,2,3,4,5,6,7,8
San Antonio Spurs,98,Atlanta Hawks,92,Box Score,,,,
New Jersey Nets,111,Boston Celtics,114,Box Score,OT,,,
Milwaukee Bucks,111,Chicago Bulls,128,Box Score,,,,
New York Knicks,96,Golden State Warriors,109,Box Score,,,,
Kansas City Kings,106,Indiana Pacers,108,Box Score,,,,
Buffalo Braves,93,Philadelphia 76ers,118,Box Score,,,,
Detroit Pistons,100,Phoenix Suns,111,Box Score,,,,
Cleveland Cavaliers,98,Seattle SuperSonics,104,Box Score,,,,
Portland Trail Blazers,93,Washington Bullets,102,Box Score,,,,
Washington Bullets,93,Buffalo Braves,130,Box Score,,,,
Los Angeles Lakers,112,Denver Nuggets,123,Box Score,,,,
New Orleans Jazz,118,Golden State Warriors,111,Box Score,,,,
San Antonio Spurs,93,Houston Rockets,104,Box Score,,,,
Atlanta Hawks,101,Kansas City Kings,110,Box Score,,,,
Philadelphia 76ers,136,New Jersey Nets,120,Box Score,,,,
Portland Trail Blazers,107,Boston Celtics,103,Box Score,OT,,,
Chicago Bulls,107,Detroit Pistons,101,Box Score,,,,
Cleveland Cavaliers,104,Phoenix Suns,113,Box Score,,,,
New York Knicks,102,Seattle SuperSonics,108,Box Score,,,,
New Jersey Nets,112,Indiana Pacers,120,Box Score,OT,,,
Kansas City Kings,90,Atlanta Hawks,111,Box Score,,,,
Portland Trail Blazers,96,Buffalo Braves,94,Box Score,,,,
Indiana Pacers,104,Chicago Bulls,105,Box Score,,,,
Cleveland Cavaliers,89,Denver Nuggets,104,Box Score,,,,
New York Knicks,108,Los Angeles Lakers,121,Box Score,,,,
New Jersey Nets,109,Milwaukee Bucks,119,Box Score,,,,
Houston Rockets,95,New Orleans Jazz,99,Box Score,,,,
Seattle SuperSonics,113,San Antonio Spurs,119,Box Score,,,,
New Orleans Jazz,108,Atlanta Hawks,106,Box Score,,,,"at Charlotte, NC"
Milwaukee Bucks,116,Boston Celtics,130,Box Score,,,,
Buffalo Braves,100,Detroit Pistons,113,Box Score,,,,
Washington Bullets,106,Golden State Warriors,113,Box Score,,,,
Seattle SuperSonics,106,Houston Rockets,104,Box Score,,,,
San Antonio Spurs,109,Indiana Pacers,96,Box Score,,,,
Philadelphia 76ers,126,Kansas City Kings,106,Box Score,,,,
Portland Trail Blazers,127,New Jersey Nets,101,Box Score,,,,
Chicago Bulls,105,Atlanta Hawks,95,Box Score,,,,
Philadelphia 76ers,109,Cleveland Cavaliers,117,Box Score,,,,
Denver Nuggets,109,Milwaukee Bucks,114,Box Score,,,,
New York Knicks,114,Phoenix Suns,134,Box Score,,,,
Phoenix Suns,104,Golden State Warriors,119,Box Score,,,,
Detroit Pistons,108,Houston Rockets,118,Box Score,,,,
Washington Bullets,99,Los Angeles Lakers,121,Box Score,,,,
Portland Trail Blazers,100,New Orleans Jazz,101,Box Score,,,,
Indiana Pacers,82,San Antonio Spurs,112,Box Score,,,,
Indiana Pacers,100,Atlanta Hawks,111,Box Score,,,,
Seattle SuperSonics,103,Boston Celtics,92,Box Score,,,,
Atlanta Hawks,89,Cleveland Cavaliers,93,Box Score,,,,
New York Knicks,143,Denver Nuggets,141,Box Score,OT,,,
Buffalo Braves,90,Indiana Pacers,99,Box Score,,,,
Houston Rockets,101,Los Angeles Lakers,106,Box Score,,,,
Chicago Bulls,90,Milwaukee Bucks,112,Box Score,,,,
Kansas City Kings,105,New Jersey Nets,97,Box Score,,"2,632",,
Detroit Pistons,97,New Orleans Jazz,100,Box Score,,,,
Golden State Warriors,87,Philadelphia 76ers,99,Box Score,,,,
Washington Bullets,101,Phoenix Suns,114,Box Score,,,,
Portland Trail Blazers,95,San Antonio Spurs,106,Box Score,,,,
Denver Nuggets,114,Chicago Bulls,131,Box Score,,,,
Cleveland Cavaliers,96,Indiana Pacers,92,Box Score,,,,
Portland Trail Blazers,120,Kansas City Kings,97,Box Score,,,,
Philadelphia 76ers,102,Los Angeles Lakers,117,Box Score,,,,
Boston Celtics,91,New Orleans Jazz,96,Box Score,,,,
Golden State Warriors,97,New York Knicks,99,Box Score,,,,
Detroit Pistons,104,Washington Bullets,101,Box Score,,,,
Buffalo Braves,119,Denver Nuggets,121,Box Score,OT,,,
Golden State Warriors,95,Detroit Pistons,99,Box Score,,,,
Houston Rockets,96,Phoenix Suns,118,Box Score,,,,
Boston Celtics,103,San Antonio Spurs,113,Box Score,,,,
Philadelphia 76ers,128,Seattle SuperSonics,125,Box Score,,,,
Kansas City Kings,105,New York Knicks,112,Box Score,,,,
New Jersey Nets,77,Portland Trail Blazers,112,Box Score,,,,
Chicago Bulls,107,Washington Bullets,135,Box Score,,,,
New York Knicks,96,Atlanta Hawks,105,Box Score,,,,
Golden State Warriors,101,Buffalo Braves,94,Box Score,,,,
Houston Rockets,100,Denver Nuggets,105,Box Score,,,,
Milwaukee Bucks,114,Los Angeles Lakers,131,Box Score,,,,
Kansas City Kings,117,New Orleans Jazz,134,Box Score,,,,
Philadelphia 76ers,101,Phoenix Suns,110,Box Score,,,,
New Jersey Nets,90,Seattle SuperSonics,95,Box Score,,,,
Detroit Pistons,115,Cleveland Cavaliers,105,Box Score,,,,
Chicago Bulls,96,New York Knicks,108,Box Score,,,,
Buffalo Braves,102,Atlanta Hawks,107,Box Score,,,,
Golden State Warriors,99,Boston Celtics,88,Box Score,,,,
Philadelphia 76ers,118,Denver Nuggets,117,Box Score,,,,
Cleveland Cavaliers,116,Detroit Pistons,120,Box Score,OT,,,
New Orleans Jazz,107,Indiana Pacers,91,Box Score,,,,
San Antonio Spurs,127,Kansas City Kings,113,Box Score,,,,
New Jersey Nets,100,Phoenix Suns,131,Box Score,,,,
Houston Rockets,88,Portland Trail Blazers,123,Box Score,,,,
Milwaukee Bucks,101,Seattle SuperSonics,103,Box Score,,,,
Los Angeles Lakers,112,Washington Bullets,119,Box Score,,,,
Indiana Pacers,94,Boston Celtics,104,Box Score,,,,"at Springfield, MA"
Atlanta Hawks,103,Chicago Bulls,106,Box Score,OT,,,
Los Angeles Lakers,116,Cleveland Cavaliers,107,Box Score,,,,
New Jersey Nets,92,Golden State Warriors,103,Box Score,,,,
Phoenix Suns,112,Kansas City Kings,102,Box Score,,,,
Buffalo Braves,95,New Orleans Jazz,114,Box Score,,,,
Denver Nuggets,119,New York Knicks,115,Box Score,,,,
Milwaukee Bucks,116,Portland Trail Blazers,136,Box Score,,,,
Washington Bullets,109,San Antonio Spurs,129,Box Score,,,,
0,1,2,3,4,5,6,7,8
,,,,,,,,
Los Angeles Lakers,100,Boston Celtics,103,Box Score,OT,,,
Phoenix Suns,120,Detroit Pistons,127,Box Score,,,,
New Jersey Nets,103,Houston Rockets,124,Box Score,,,,
Chicago Bulls,111,New Orleans Jazz,117,Box Score,,,,
Denver Nuggets,101,Philadelphia 76ers,104,Box Score,,,,
Washington Bullets,93,Cleveland Cavaliers,110,Box Score,,,,
Milwaukee Bucks,102,Golden State Warriors,105,Box Score,,,,
Atlanta Hawks,107,Indiana Pacers,105,Box Score,,,,
Detroit Pistons,101,Kansas City Kings,113,Box Score,,,,
New York Knicks,113,San Antonio Spurs,123,Box Score,,,,
Washington Bullets,94,Boston Celtics,116,Box Score,,,,
Cleveland Cavaliers,104,Buffalo Braves,101,Box Score,,,,
San Antonio Spurs,107,Chicago Bulls,110,Box Score,,,,
Detroit Pistons,102,Denver Nuggets,115,Box Score,,,,
New York Knicks,102,Houston Rockets,112,Box Score,,,,
Los Angeles Lakers,105,New Jersey Nets,99,Box Score,OT,,,
Indiana Pacers,104,Philadelphia 76ers,116,Box Score,,,,
Milwaukee Bucks,105,Phoenix Suns,115,Box Score,,,,
Golden State Warriors,92,Portland Trail Blazers,112,Box Score,,,,
Los Angeles Lakers,132,Buffalo Braves,105,Box Score,,,,
Philadelphia 76ers,106,Chicago Bulls,108,Box Score,,,,
New Orleans Jazz,99,Cleveland Cavaliers,122,Box Score,,,,
Washington Bullets,102,Golden State Warriors,105,Box Score,,,,
Boston Celtics,92,Indiana Pacers,89,Box Score,,,,
Atlanta Hawks,109,Denver Nuggets,114,Box Score,,,,
Los Angeles Lakers,105,Detroit Pistons,95,Box Score,,,,
Chicago Bulls,101,Houston Rockets,105,Box Score,,,,
Boston Celtics,100,Kansas City Kings,104,Box Score,,,,
Buffalo Braves,103,Milwaukee Bucks,104,Box Score,,,,
Indiana Pacers,138,New Jersey Nets,140,Box Score,OT,,,
New Orleans Jazz,104,Philadelphia 76ers,117,Box Score,,,,
Washington Bullets,106,Seattle SuperSonics,100,Box Score,,,,
Portland Trail Blazers,94,Cleveland Cavaliers,88,Box Score,,,,
Denver Nuggets,108,Golden State Warriors,119,Box Score,,,,
Indiana Pacers,117,New York Knicks,126,Box Score,,,,
Atlanta Hawks,98,Phoenix Suns,125,Box Score,,,,
Houston Rockets,94,San Antonio Spurs,104,Box Score,,,,
Philadelphia 76ers,110,Buffalo Braves,116,Box Score,,,,
San Antonio Spurs,125,Houston Rockets,114,Box Score,,,,
Portland Trail Blazers,112,Indiana Pacers,108,Box Score,,,,
Chicago Bulls,93,Kansas City Kings,106,Box Score,,,,
Golden State Warriors,107,Los Angeles Lakers,135,Box Score,,,,
Cleveland Cavaliers,98,Milwaukee Bucks,108,Box Score,OT,,,
Detroit Pistons,112,New Jersey Nets,117,Box Score,,,,
Denver Nuggets,123,Seattle SuperSonics,126,Box Score,OT,,,
Kansas City Kings,95,Chicago Bulls,90,Box Score,,,,
New Orleans Jazz,96,Detroit Pistons,106,Box Score,,,,
San Antonio Spurs,131,Golden State Warriors,122,Box Score,OT,,,
Milwaukee Bucks,122,New York Knicks,133,Box Score,,,,
Chicago Bulls,94,Indiana Pacers,111,Box Score,,,,
Cleveland Cavaliers,88,Kansas City Kings,101,Box Score,,,,
Atlanta Hawks,116,Los Angeles Lakers,103,Box Score,,,,
New York Knicks,110,New Jersey Nets,112,Box Score,,,,
Houston Rockets,119,New Orleans Jazz,112,Box Score,,,,
Seattle SuperSonics,99,Philadelphia 76ers,109,Box Score,,,,
Washington Bullets,109,Phoenix Suns,121,Box Score,,,,
Denver Nuggets,103,Portland Trail Blazers,101,Box Score,,,,
New Jersey Nets,115,Detroit Pistons,125,Box Score,,,,
Seattle SuperSonics,100,Buffalo Braves,101,Box Score,,,,
New Orleans Jazz,95,Chicago Bulls,102,Box Score,,,,
New York Knicks,127,Cleveland Cavaliers,136,Box Score,2OT,,,
Washington Bullets,98,Denver Nuggets,103,Box Score,,,,
Boston Celtics,98,Golden State Warriors,75,Box Score,,,,
Philadelphia 76ers,119,Indiana Pacers,116,Box Score,,,,
Houston Rockets,102,Kansas City Kings,125,Box Score,,,,
San Antonio Spurs,114,Los Angeles Lakers,128,Box Score,,,,
Phoenix Suns,100,Portland Trail Blazers,113,Box Score,,,,
Philadelphia 76ers,116,Detroit Pistons,113,Box Score,,,,
Indiana Pacers,122,Houston Rockets,126,Box Score,,,,
New Orleans Jazz,99,Milwaukee Bucks,112,Box Score,,,,
Atlanta Hawks,99,Portland Trail Blazers,102,Box Score,,,,
Denver Nuggets,87,Cleveland Cavaliers,119,Box Score,,,,
Seattle SuperSonics,92,New Jersey Nets,101,Box Score,,,,
Boston Celtics,98,Phoenix Suns,95,Box Score,,,,
Buffalo Braves,109,Washington Bullets,123,Box Score,,,,
Kansas City Kings,108,Buffalo Braves,100,Box Score,,,,
Seattle SuperSonics,106,Chicago Bulls,98,Box Score,,,,
Portland Trail Blazers,105,Denver Nuggets,112,Box Score,,,,
New York Knicks,128,Detroit Pistons,108,Box Score,,,,
Phoenix Suns,92,Golden State Warriors,111,Box Score,,,,
Washington Bullets,111,Indiana Pacers,123,Box Score,,,,
Boston Celtics,106,Los Angeles Lakers,114,Box Score,,,,
Houston Rockets,98,Milwaukee Bucks,115,Box Score,,,,
Cleveland Cavaliers,99,New Jersey Nets,96,Box Score,,,,
Atlanta Hawks,111,New Orleans Jazz,102,Box Score,,,,"at Baton Rouge, LA"
San Antonio Spurs,116,Philadelphia 76ers,125,Box Score,,,,
Kansas City Kings,101,Cleveland Cavaliers,105,Box Score,,,,
Atlanta Hawks,112,Houston Rockets,121,Box Score,,,,
Buffalo Braves,122,New York Knicks,112,Box Score,,,,
Indiana Pacers,101,Phoenix Suns,114,Box Score,,,,
Chicago Bulls,103,San Antonio Spurs,124,Box Score,,,,
Boston Celtics,115,Denver Nuggets,118,Box Score,,,,
Kansas City Kings,107,Detroit Pistons,110,Box Score,,,,
Los Angeles Lakers,115,Golden State Warriors,93,Box Score,,,,
Seattle SuperSonics,108,Milwaukee Bucks,103,Box Score,,,,
New Jersey Nets,110,Philadelphia 76ers,120,Box Score,,,,
Indiana Pacers,104,Portland Trail Blazers,127,Box Score,,,,
New Orleans Jazz,111,Washington Bullets,130,Box Score,,,,
Cleveland Cavaliers,95,Chicago Bulls,106,Box Score,,,,
Phoenix Suns,114,Buffalo Braves,111,Box Score,,,,
Los Angeles Lakers,106,Chicago Bulls,104,Box Score,,,,
Philadelphia 76ers,127,Cleveland Cavaliers,114,Box Score,,,,
Boston Celtics,96,Houston Rockets,111,Box Score,,,,
Seattle SuperSonics,120,New York Knicks,122,Box Score,,,,
Portland Trail Blazers,118,San Antonio Spurs,114,Box Score,OT,,,
Phoenix Suns,95,Atlanta Hawks,107,Box Score,,,,"at Charlotte, NC"
Indiana Pacers,99,Denver Nuggets,96,Box Score,,,,
Houston Rockets,108,Detroit Pistons,119,Box Score,,,,
Los Angeles Lakers,122,Kansas City Kings,127,Box Score,OT,,,
Seattle SuperSonics,94,New Jersey Nets,83,Box Score,,,,
Golden State Warriors,91,New Orleans Jazz,116,Box Score,,,,
Portland Trail Blazers,105,Washington Bullets,97,Box Score,,,,
Atlanta Hawks,105,San Antonio Spurs,118,Box Score,,,,
Golden State Warriors,97,Atlanta Hawks,96,Box Score,,,,
Boston Celtics,106,Buffalo Braves,99,Box Score,,,,
Milwaukee Bucks,112,Chicago Bulls,109,Box Score,OT,,,
Portland Trail Blazers,107,Kansas City Kings,96,Box Score,,,,
Denver Nuggets,99,Los Angeles Lakers,109,Box Score,,,,
Houston Rockets,112,New Jersey Nets,126,Box Score,,,,
Cleveland Cavaliers,98,New Orleans Jazz,101,Box Score,,,,
Phoenix Suns,120,Washington Bullets,121,Box Score,OT,,,
Houston Rockets,110,Buffalo Braves,106,Box Score,,,,
Philadelphia 76ers,115,Denver Nuggets,124,Box Score,,,,
Phoenix Suns,115,New York Knicks,122,Box Score,,,,
Cleveland Cavaliers,108,San Antonio Spurs,112,Box Score,,,,
Detroit Pistons,104,Seattle SuperSonics,118,Box Score,,,,
Buffalo Braves,117,Atlanta Hawks,119,Box Score,,,,
Portland Trail Blazers,100,Chicago Bulls,99,Box Score,,,,
Detroit Pistons,127,Los Angeles Lakers,124,Box Score,,,,
Boston Celtics,94,New Jersey Nets,92,Box Score,,,,
Milwaukee Bucks,122,New Orleans Jazz,120,Box Score,OT,,,
Philadelphia 76ers,97,Seattle SuperSonics,99,Box Score,,,,
Golden State Warriors,110,Washington Bullets,121,Box Score,,,,
Cleveland Cavaliers,110,Houston Rockets,97,Box Score,,,,
Boston Celtics,85,Atlanta Hawks,117,Box Score,,,,
Phoenix Suns,115,Chicago Bulls,126,Box Score,,,,
Denver Nuggets,122,Indiana Pacers,106,Box Score,,,,
Seattle SuperSonics,114,Kansas City Kings,107,Box Score,OT,,,
Washington Bullets,135,Milwaukee Bucks,136,Box Score,OT,,,
Buffalo Braves,108,New Orleans Jazz,125,Box Score,,,,
San Antonio Spurs,123,New York Knicks,138,Box Score,,,,
Philadelphia 76ers,92,Portland Trail Blazers,113,Box Score,,,,
0,1,2,3,4,5,6,7,8
,,,,,,,,
Cleveland Cavaliers,110,Denver Nuggets,104,Box Score,,,,
Philadelphia 76ers,125,Golden State Warriors,119,Box Score,,,,
Buffalo Braves,114,Houston Rockets,104,Box Score,,,,
Atlanta Hawks,95,New Jersey Nets,97,Box Score,,,,
Boston Celtics,100,New Orleans Jazz,101,Box Score,,,,
Detroit Pistons,115,Phoenix Suns,102,Box Score,,,,
San Antonio Spurs,110,Washington Bullets,125,Box Score,,,,
Portland Trail Blazers,117,New York Knicks,128,Box Score,,,,
Buffalo Braves,107,San Antonio Spurs,128,Box Score,,,,
Houston Rockets,110,Atlanta Hawks,133,Box Score,,,,
New Orleans Jazz,113,Boston Celtics,116,Box Score,,,,
Washington Bullets,124,Detroit Pistons,108,Box Score,,,,
Seattle SuperSonics,111,Indiana Pacers,115,Box Score,,,,
Philadelphia 76ers,95,Los Angeles Lakers,96,Box Score,,,,
Milwaukee Bucks,126,Phoenix Suns,132,Box Score,,,,
New Jersey Nets,107,Buffalo Braves,111,Box Score,,,,
Kansas City Kings,114,Denver Nuggets,123,Box Score,,,,
Seattle SuperSonics,104,New Orleans Jazz,113,Box Score,,,,
Boston Celtics,91,New York Knicks,99,Box Score,,,,
Cleveland Cavaliers,100,Portland Trail Blazers,105,Box Score,,,,
Seattle SuperSonics,94,Atlanta Hawks,101,Box Score,,,,
New York Knicks,94,Boston Celtics,112,Box Score,,,,
Indiana Pacers,110,Detroit Pistons,122,Box Score,,,,
Chicago Bulls,96,Golden State Warriors,95,Box Score,,,,
Cleveland Cavaliers,117,Los Angeles Lakers,128,Box Score,,,,
Buffalo Braves,103,New Jersey Nets,109,Box Score,,,,
Philadelphia 76ers,104,Phoenix Suns,92,Box Score,,,,
Milwaukee Bucks,88,Portland Trail Blazers,126,Box Score,,,,
New Orleans Jazz,97,San Antonio Spurs,98,Box Score,,,,
Houston Rockets,88,Washington Bullets,106,Box Score,,,,
Indiana Pacers,88,Kansas City Kings,98,Box Score,,,,
Detroit Pistons,109,Atlanta Hawks,123,Box Score,,,,
Phoenix Suns,126,Denver Nuggets,112,Box Score,,,,
Portland Trail Blazers,82,New Orleans Jazz,84,Box Score,,,,
Houston Rockets,101,New York Knicks,112,Box Score,,,,
New Jersey Nets,98,San Antonio Spurs,129,Box Score,,,,
New Orleans Jazz,108,Buffalo Braves,120,Box Score,,,,
Cleveland Cavaliers,108,Golden State Warriors,118,Box Score,,,,
Portland Trail Blazers,97,Houston Rockets,94,Box Score,,,,
New Jersey Nets,123,Kansas City Kings,121,Box Score,,,,
New York Knicks,125,Milwaukee Bucks,127,Box Score,2OT,,,
Atlanta Hawks,97,Philadelphia 76ers,108,Box Score,,,,
Seattle SuperSonics,95,San Antonio Spurs,94,Box Score,,,,
Detroit Pistons,105,Indiana Pacers,112,Box Score,,,,
Chicago Bulls,103,Phoenix Suns,112,Box Score,,,,
Portland Trail Blazers,105,Atlanta Hawks,114,Box Score,,,,
Cleveland Cavaliers,117,Buffalo Braves,118,Box Score,,,,
Washington Bullets,117,Houston Rockets,114,Box Score,,,,
New York Knicks,115,Indiana Pacers,122,Box Score,,,,
Denver Nuggets,120,Kansas City Kings,126,Box Score,,,,
Chicago Bulls,109,Los Angeles Lakers,115,Box Score,,,,
Golden State Warriors,124,Milwaukee Bucks,102,Box Score,,,,
New Orleans Jazz,105,New Jersey Nets,99,Box Score,,,,
Boston Celtics,109,Philadelphia 76ers,120,Box Score,,,,
Seattle SuperSonics,93,Houston Rockets,91,Box Score,,,,
New Jersey Nets,117,New York Knicks,126,Box Score,,,,
Los Angeles Lakers,114,Phoenix Suns,120,Box Score,,,,
Washington Bullets,101,San Antonio Spurs,116,Box Score,,,,
Milwaukee Bucks,93,Atlanta Hawks,98,Box Score,,,,
Philadelphia 76ers,105,Boston Celtics,103,Box Score,,,,
Portland Trail Blazers,90,Buffalo Braves,96,Box Score,,,,
Chicago Bulls,95,Denver Nuggets,98,Box Score,,,,
Cleveland Cavaliers,95,Indiana Pacers,90,Box Score,,,,
Golden State Warriors,113,Kansas City Kings,106,Box Score,,,,
Phoenix Suns,112,Los Angeles Lakers,128,Box Score,,,,
Detroit Pistons,130,New Jersey Nets,125,Box Score,,,,
Detroit Pistons,98,Boston Celtics,105,Box Score,,,,
San Antonio Spurs,115,Buffalo Braves,123,Box Score,OT,,,
Golden State Warriors,103,Chicago Bulls,96,Box Score,,,,
Houston Rockets,98,Cleveland Cavaliers,119,Box Score,,,,
Phoenix Suns,106,Milwaukee Bucks,121,Box Score,,,,
Los Angeles Lakers,135,New York Knicks,117,Box Score,,,,
New Orleans Jazz,109,Portland Trail Blazers,103,Box Score,,,,
Seattle SuperSonics,115,Washington Bullets,120,Box Score,,,,
Golden State Warriors,111,Denver Nuggets,123,Box Score,,,,
San Antonio Spurs,135,Detroit Pistons,106,Box Score,,,,
Buffalo Braves,106,Indiana Pacers,111,Box Score,,,,
Phoenix Suns,98,New Jersey Nets,117,Box Score,,,,
Los Angeles Lakers,93,Philadelphia 76ers,113,Box Score,,,,
Washington Bullets,107,Chicago Bulls,111,Box Score,,,,
Boston Celtics,102,Cleveland Cavaliers,112,Box Score,,,,
Atlanta Hawks,98,Golden State Warriors,104,Box Score,,,,
Detroit Pistons,106,Houston Rockets,98,Box Score,,,,
New Orleans Jazz,98,Seattle SuperSonics,123,Box Score,,,,
Phoenix Suns,108,Boston Celtics,115,Box Score,,,,
Milwaukee Bucks,127,Buffalo Braves,136,Box Score,,,,
New York Knicks,117,Chicago Bulls,129,Box Score,,,,
Seattle SuperSonics,105,Los Angeles Lakers,98,Box Score,,,,
Denver Nuggets,109,New Jersey Nets,111,Box Score,OT,,,
Kansas City Kings,112,Philadelphia 76ers,123,Box Score,,,,
San Antonio Spurs,118,Portland Trail Blazers,99,Box Score,,,,
Indiana Pacers,105,Washington Bullets,99,Box Score,,,,
Kansas City Kings,110,Boston Celtics,117,Box Score,,,,
New Orleans Jazz,96,Golden State Warriors,88,Box Score,,,,
New Jersey Nets,106,Houston Rockets,104,Box Score,,,,
Milwaukee Bucks,113,Indiana Pacers,104,Box Score,,,,
Philadelphia 76ers,141,New York Knicks,127,Box Score,,,,
Atlanta Hawks,86,Portland Trail Blazers,105,Box Score,,,,
Denver Nuggets,95,Boston Celtics,122,Box Score,,,,
Phoenix Suns,123,Cleveland Cavaliers,112,Box Score,,,,
Chicago Bulls,92,Detroit Pistons,112,Box Score,,,,
Buffalo Braves,108,Kansas City Kings,122,Box Score,,,,
Atlanta Hawks,87,Los Angeles Lakers,101,Box Score,,,,
New York Knicks,118,Philadelphia 76ers,125,Box Score,,,,
San Antonio Spurs,98,Seattle SuperSonics,116,Box Score,,,,
Milwaukee Bucks,117,Washington Bullets,106,Box Score,,,,
Indiana Pacers,127,Cleveland Cavaliers,104,Box Score,,,,
Houston Rockets,99,Chicago Bulls,101,Box Score,,,,
New York Knicks,115,Denver Nuggets,114,Box Score,,,,
Kansas City Kings,116,Detroit Pistons,111,Box Score,,,,
Buffalo Braves,104,Golden State Warriors,111,Box Score,,,,
Phoenix Suns,115,Indiana Pacers,119,Box Score,,,,
Atlanta Hawks,86,Milwaukee Bucks,100,Box Score,,,,
New Jersey Nets,114,New Orleans Jazz,117,Box Score,,,,
Seattle SuperSonics,96,Portland Trail Blazers,102,Box Score,,,,
Los Angeles Lakers,105,San Antonio Spurs,109,Box Score,,,,
Boston Celtics,107,Washington Bullets,119,Box Score,,,,
Cleveland Cavaliers,99,Boston Celtics,105,Box Score,,,,
Los Angeles Lakers,124,Houston Rockets,106,Box Score,,,,
Philadelphia 76ers,108,Kansas City Kings,120,Box Score,,,,
Chicago Bulls,99,New Jersey Nets,105,Box Score,,,,
Washington Bullets,124,New Orleans Jazz,109,Box Score,,,,
Buffalo Braves,92,Seattle SuperSonics,97,Box Score,,,,
Indiana Pacers,115,Golden State Warriors,119,Box Score,,,,
Portland Trail Blazers,109,Milwaukee Bucks,116,Box Score,,,,
New York Knicks,108,Phoenix Suns,120,Box Score,,,,
Denver Nuggets,106,San Antonio Spurs,123,Box Score,,,,
New Orleans Jazz,94,Atlanta Hawks,96,Box Score,OT,,,
Chicago Bulls,97,Boston Celtics,96,Box Score,,,,
Portland Trail Blazers,95,Detroit Pistons,107,Box Score,,,,
Kansas City Kings,103,Houston Rockets,107,Box Score,,,,
Buffalo Braves,115,Los Angeles Lakers,120,Box Score,,,,
Washington Bullets,107,New Jersey Nets,104,Box Score,,,,
Milwaukee Bucks,122,Philadelphia 76ers,131,Box Score,,,,
Indiana Pacers,102,Seattle SuperSonics,104,Box Score,,,,
New York Knicks,123,Golden State Warriors,133,Box Score,,,,
San Antonio Spurs,132,Kansas City Kings,130,Box Score,,,,
Buffalo Braves,106,Phoenix Suns,112,Box Score,,,,
Atlanta Hawks,95,Washington Bullets,98,Box Score,,,,
Chicago Bulls,78,Cleveland Cavaliers,95,Box Score,,,,
Indiana Pacers,99,Los Angeles Lakers,110,Box Score,,,,
Detroit Pistons,109,Milwaukee Bucks,110,Box Score,OT,,,
Denver Nuggets,109,New Orleans Jazz,100,Box Score,,,,
Portland Trail Blazers,100,Philadelphia 76ers,116,Box Score,,,,
Boston Celtics,101,Seattle SuperSonics,112,Box Score,,,,
New Jersey Nets,118,Washington Bullets,104,Box Score,,,,
Golden State Warriors,88,Cleveland Cavaliers,98,Box Score,,,,
Los Angeles Lakers,104,Atlanta Hawks,105,Box Score,,,,
Detroit Pistons,123,Buffalo Braves,118,Box Score,,,,
Kansas City Kings,128,Chicago Bulls,105,Box Score,,,,
Seattle SuperSonics,100,Cleveland Cavaliers,112,Box Score,,,,
Denver Nuggets,103,New York Knicks,106,Box Score,,,,
Boston Celtics,104,Portland Trail Blazers,92,Box Score,,,,
Golden State Warriors,108,San Antonio Spurs,94,Box Score,,,,
Boston Celtics,106,Denver Nuggets,109,Box Score,,,,
Seattle SuperSonics,116,Detroit Pistons,121,Box Score,,,,
Golden State Warriors,112,Houston Rockets,89,Box Score,,,,
San Antonio Spurs,106,Indiana Pacers,91,Box Score,,,,
Los Angeles Lakers,108,New Orleans Jazz,103,Box Score,,,,
Buffalo Braves,118,Philadelphia 76ers,149,Box Score,,,,
Portland Trail Blazers,94,Phoenix Suns,127,Box Score,,,,
Kansas City Kings,108,Washington Bullets,105,Box Score,OT,,,
San Antonio Spurs,99,Cleveland Cavaliers,95,Box Score,,,,
Indiana Pacers,100,Milwaukee Bucks,105,Box Score,,,,
Washington Bullets,123,New York Knicks,108,Box Score,,,,
Philadelphia 76ers,110,Atlanta Hawks,111,Box Score,OT,,,
San Antonio Spurs,120,Boston Celtics,117,Box Score,,,,
Detroit Pistons,107,Chicago Bulls,117,Box Score,,,,
Seattle SuperSonics,111,Denver Nuggets,109,Box Score,,,,
Golden State Warriors,111,Indiana Pacers,103,Box Score,,,,
Portland Trail Blazers,103,Los Angeles Lakers,101,Box Score,,,,
Milwaukee Bucks,114,New Jersey Nets,122,Box Score,,,,
New York Knicks,117,New Orleans Jazz,116,Box Score,,,,
Kansas City Kings,112,Phoenix Suns,136,Box Score,,,,
Cleveland Cavaliers,102,Washington Bullets,101,Box Score,,,,
0,1,2,3,4,5,6,7,8
,,,,,,,,
Chicago Bulls,110,Buffalo Braves,102,Box Score,,,,
Detroit Pistons,99,Cleveland Cavaliers,113,Box Score,,,,
Philadelphia 76ers,112,Houston Rockets,116,Box Score,,,,
New Orleans Jazz,108,Boston Celtics,119,Box Score,,,,
New Jersey Nets,113,Atlanta Hawks,124,Box Score,,,,
Indiana Pacers,123,Boston Celtics,120,Box Score,,,,
Houston Rockets,100,Denver Nuggets,109,Box Score,,,,
Milwaukee Bucks,129,Detroit Pistons,121,Box Score,,,,
Kansas City Kings,127,Los Angeles Lakers,133,Box Score,,,,
Golden State Warriors,99,Phoenix Suns,105,Box Score,,,,
Philadelphia 76ers,107,San Antonio Spurs,111,Box Score,,,,
Portland Trail Blazers,86,Seattle SuperSonics,101,Box Score,,,,
New York Knicks,114,Washington Bullets,109,Box Score,,,,
Denver Nuggets,104,Buffalo Braves,95,Box Score,,,,
