0,1,2,3,4,5,6,7,8
Indiana Pacers,106,Portland Trail Blazers,108,Box Score,,,,
Kansas City Kings,99,Seattle SuperSonics,83,Box Score,,,,
Houston Rockets,104,Chicago Bulls,117,Box Score,,,,
Denver Nuggets,111,Milwaukee Bucks,101,Box Score,,,,
San Antonio Spurs,117,New York Knicks,123,Box Score,,,,
Kansas City Kings,104,Portland Trail Blazers,130,Box Score,,,,
San Antonio Spurs,129,Boston Celtics,114,Box Score,,,,
New York Knicks,113,Buffalo Braves,124,Box Score,,,,
New Orleans Jazz,112,Denver Nuggets,115,Box Score,,,,
Houston Rockets,107,Detroit Pistons,127,Box Score,,,,
Indiana Pacers,129,Golden State Warriors,132,Box Score,,,,
New Jersey Nets,107,Philadelphia 76ers,130,Box Score,,,,
Atlanta Hawks,132,Houston Rockets,101,Box Score,,,,
New Orleans Jazz,111,Phoenix Suns,127,Box Score,,,,
Milwaukee Bucks,106,Washington Bullets,103,Box Score,,,,
Portland Trail Blazers,132,Atlanta Hawks,92,Box Score,,,,
Buffalo Braves,103,Boston Celtics,109,Box Score,,,,
San Antonio Spurs,107,Detroit Pistons,104,Box Score,,,,
Kansas City Kings,106,Golden State Warriors,105,Box Score,,,,
New Orleans Jazz,107,Los Angeles Lakers,123,Box Score,,,,
Cleveland Cavaliers,88,Milwaukee Bucks,82,Box Score,,,,
Chicago Bulls,89,New Jersey Nets,91,Box Score,,,,
New York Knicks,119,Philadelphia 76ers,127,Box Score,,,,
Indiana Pacers,111,Seattle SuperSonics,117,Box Score,,,,
Chicago Bulls,103,Buffalo Braves,106,Box Score,,,,
Kansas City Kings,114,Denver Nuggets,119,Box Score,,,,
Portland Trail Blazers,102,Houston Rockets,104,Box Score,,,,
New Jersey Nets,90,New York Knicks,101,Box Score,,,,
Atlanta Hawks,99,San Antonio Spurs,116,Box Score,,,,
Philadelphia 76ers,98,Washington Bullets,116,Box Score,,,,
Washington Bullets,102,Detroit Pistons,104,Box Score,,,,
Golden State Warriors,95,Los Angeles Lakers,97,Box Score,,,,
Boston Celtics,127,Milwaukee Bucks,119,Box Score,OT,,,
Indiana Pacers,107,Phoenix Suns,116,Box Score,,,,
New Orleans Jazz,83,Seattle SuperSonics,117,Box Score,,,,
Philadelphia 76ers,114,Atlanta Hawks,93,Box Score,,,,
Indiana Pacers,100,Buffalo Braves,94,Box Score,,,,
Detroit Pistons,113,Denver Nuggets,123,Box Score,,,,
Cleveland Cavaliers,102,Los Angeles Lakers,95,Box Score,OT,,,
Portland Trail Blazers,109,Milwaukee Bucks,106,Box Score,,,,
New Orleans Jazz,105,New York Knicks,108,Box Score,,,,
Kansas City Kings,107,San Antonio Spurs,113,Box Score,,,,
Seattle SuperSonics,109,Washington Bullets,111,Box Score,,,,
Atlanta Hawks,105,Boston Celtics,131,Box Score,,,,
Buffalo Braves,101,Houston Rockets,97,Box Score,,,,
Portland Trail Blazers,104,Indiana Pacers,111,Box Score,,,,
Milwaukee Bucks,116,New Jersey Nets,106,Box Score,,,,
Seattle SuperSonics,96,Philadelphia 76ers,101,Box Score,,,,
Seattle SuperSonics,116,New Orleans Jazz,127,Box Score,,,,
Buffalo Braves,108,San Antonio Spurs,111,Box Score,,,,
Philadelphia 76ers,121,Boston Celtics,112,Box Score,,,,
San Antonio Spurs,94,Denver Nuggets,105,Box Score,,,,
Cleveland Cavaliers,104,Golden State Warriors,108,Box Score,,,,
Detroit Pistons,83,Los Angeles Lakers,116,Box Score,,,,
Indiana Pacers,124,New Jersey Nets,116,Box Score,,,,
Chicago Bulls,101,Phoenix Suns,103,Box Score,,,,
New York Knicks,103,Washington Bullets,123,Box Score,,,,
New Jersey Nets,114,Atlanta Hawks,129,Box Score,,,,
Boston Celtics,98,Buffalo Braves,102,Box Score,,,,
Detroit Pistons,96,Golden State Warriors,128,Box Score,,,,
New Orleans Jazz,103,Houston Rockets,101,Box Score,,,,
Washington Bullets,131,Kansas City Kings,125,Box Score,OT,,,
Indiana Pacers,127,New York Knicks,129,Box Score,OT,,,
Milwaukee Bucks,100,Philadelphia 76ers,111,Box Score,,,,
Cleveland Cavaliers,67,Portland Trail Blazers,109,Box Score,,,,
Chicago Bulls,102,Los Angeles Lakers,80,Box Score,,,,
Denver Nuggets,125,New Jersey Nets,118,Box Score,,,,
San Antonio Spurs,112,Phoenix Suns,134,Box Score,,,,
Detroit Pistons,101,Portland Trail Blazers,118,Box Score,,,,
Cleveland Cavaliers,115,Seattle SuperSonics,108,Box Score,,,,
Washington Bullets,114,Buffalo Braves,97,Box Score,,,,
Golden State Warriors,88,Milwaukee Bucks,109,Box Score,,,,
Indiana Pacers,108,New Orleans Jazz,123,Box Score,,,,
Buffalo Braves,102,New York Knicks,101,Box Score,,,,
Houston Rockets,99,Philadelphia 76ers,105,Box Score,,,,
Los Angeles Lakers,107,Phoenix Suns,118,Box Score,,,,
Denver Nuggets,119,Washington Bullets,114,Box Score,,,,
Denver Nuggets,104,Atlanta Hawks,105,Box Score,,,,
Houston Rockets,100,Boston Celtics,109,Box Score,,,,
Philadelphia 76ers,106,Detroit Pistons,105,Box Score,,,,
Golden State Warriors,116,Indiana Pacers,126,Box Score,,,,
Milwaukee Bucks,122,Kansas City Kings,116,Box Score,,,,
Chicago Bulls,111,Portland Trail Blazers,116,Box Score,,,,
New Jersey Nets,119,San Antonio Spurs,132,Box Score,,,,
Los Angeles Lakers,89,Seattle SuperSonics,113,Box Score,,,,
Phoenix Suns,82,Cleveland Cavaliers,97,Box Score,,,,
Denver Nuggets,129,New Orleans Jazz,131,Box Score,,,,
Milwaukee Bucks,117,Atlanta Hawks,115,Box Score,,,,
New York Knicks,119,Boston Celtics,121,Box Score,OT,,,
Phoenix Suns,118,Indiana Pacers,110,Box Score,,,,
New Jersey Nets,117,Los Angeles Lakers,129,Box Score,,,,
Golden State Warriors,119,Philadelphia 76ers,125,Box Score,OT,,,
Chicago Bulls,106,Seattle SuperSonics,89,Box Score,,,,
Philadelphia 76ers,112,Buffalo Braves,107,Box Score,,,,
Indiana Pacers,123,Denver Nuggets,136,Box Score,,,,
Cleveland Cavaliers,105,Detroit Pistons,87,Box Score,,,,
Boston Celtics,108,Kansas City Kings,110,Box Score,,,,
Golden State Warriors,106,New York Knicks,112,Box Score,,,,
New Jersey Nets,102,Portland Trail Blazers,114,Box Score,,,,
Milwaukee Bucks,107,San Antonio Spurs,129,Box Score,,,,
Houston Rockets,91,Washington Bullets,93,Box Score,,,,
Portland Trail Blazers,100,Los Angeles Lakers,93,Box Score,,,,
Kansas City Kings,106,New Orleans Jazz,115,Box Score,,,,
Denver Nuggets,97,Phoenix Suns,115,Box Score,,,,
New Jersey Nets,99,Seattle SuperSonics,96,Box Score,,,,
Houston Rockets,86,New York Knicks,104,Box Score,,,,
Boston Celtics,101,Atlanta Hawks,108,Box Score,,,,
New Orleans Jazz,87,Chicago Bulls,95,Box Score,,,,
Los Angeles Lakers,101,Cleveland Cavaliers,118,Box Score,,,,
Seattle SuperSonics,99,Denver Nuggets,115,Box Score,,,,
New Jersey Nets,101,Golden State Warriors,110,Box Score,,,,
New York Knicks,103,Houston Rockets,120,Box Score,,,,
Detroit Pistons,100,Milwaukee Bucks,99,Box Score,,,,
Phoenix Suns,96,Portland Trail Blazers,108,Box Score,,,,
Philadelphia 76ers,129,San Antonio Spurs,117,Box Score,,,,
Chicago Bulls,92,Boston Celtics,98,Box Score,,,,
Atlanta Hawks,93,Buffalo Braves,105,Box Score,,,,
Los Angeles Lakers,98,Detroit Pistons,104,Box Score,,,,
Milwaukee Bucks,120,Indiana Pacers,113,Box Score,,,,
Seattle SuperSonics,86,Kansas City Kings,84,Box Score,,,,
Philadelphia 76ers,117,New Orleans Jazz,114,Box Score,,,,
San Antonio Spurs,105,Washington Bullets,116,Box Score,,,,
0,1,2,3,4,5,6,7,8
,,,,,,,,
