,0,1,2,3,4,5,6,7,8
365,Kansas City Kings,104.0,Phoenix Suns,110.0,Box Score,,,,
366,Denver Nuggets,106.0,Atlanta Hawks,104.0,Box Score,,,,"at Charlotte, NC"
367,Detroit Pistons,103.0,Buffalo Braves,87.0,Box Score,,,,
368,Boston Celtics,97.0,Chicago Bulls,102.0,Box Score,,,,
369,Portland Trail Blazers,108.0,Golden State Warriors,99.0,Box Score,,,,
370,Houston Rockets,98.0,Indiana Pacers,99.0,Box Score,,,,
371,Kansas City Kings,109.0,Los Angeles Lakers,119.0,Box Score,,,,
372,New Orleans Jazz,116.0,New York Knicks,118.0,Box Score,,,,
373,Washington Bullets,119.0,Philadelphia 76ers,126.0,Box Score,,,,
374,Cleveland Cavaliers,101.0,San Antonio Spurs,122.0,Box Score,,,,
375,Phoenix Suns,110.0,Seattle SuperSonics,121.0,Box Score,,,,
377,Cleveland Cavaliers,87.0,New York Knicks,96.0,Box Score,,,,
378,Kansas City Kings,102.0,Portland Trail Blazers,107.0,Box Score,,,,
379,Chicago Bulls,96.0,Seattle SuperSonics,114.0,Box Score,,,,
380,Detroit Pistons,106.0,Atlanta Hawks,103.0,Box Score,,,,
381,Phoenix Suns,125.0,Milwaukee Bucks,103.0,Box Score,,,,
382,Indiana Pacers,104.0,New Orleans Jazz,103.0,Box Score,,,,
383,Los Angeles Lakers,120.0,New York Knicks,117.0,Box Score,,,,
384,Chicago Bulls,90.0,Portland Trail Blazers,92.0,Box Score,,,,
385,Denver Nuggets,101.0,Washington Bullets,100.0,Box Score,,,,
386,Los Angeles Lakers,93.0,Buffalo Braves,94.0,Box Score,,,,
387,Atlanta Hawks,97.0,Detroit Pistons,111.0,Box Score,,,,
388,Chicago Bulls,94.0,Golden State Warriors,115.0,Box Score,,,,
389,Indiana Pacers,96.0,Houston Rockets,104.0,Box Score,,,,
390,Phoenix Suns,83.0,New Jersey Nets,115.0,Box Score,,,,
391,Cleveland Cavaliers,93.0,Philadelphia 76ers,108.0,Box Score,,,,
392,Denver Nuggets,119.0,San Antonio Spurs,114.0,Box Score,,,,
393,Kansas City Kings,110.0,Seattle SuperSonics,116.0,Box Score,,,,
394,Phoenix Suns,121.0,Boston Celtics,111.0,Box Score,,,,"at Hartford, CT"
395,New Jersey Nets,94.0,Cleveland Cavaliers,110.0,Box Score,,,,
396,New Orleans Jazz,116.0,Milwaukee Bucks,109.0,Box Score,,,,
397,New York Knicks,99.0,Chicago Bulls,97.0,Box Score,,,,
398,Detroit Pistons,106.0,Golden State Warriors,107.0,Box Score,,,,
399,Milwaukee Bucks,103.0,Houston Rockets,101.0,Box Score,,,,
400,San Antonio Spurs,110.0,New Jersey Nets,105.0,Box Score,,,,
401,Atlanta Hawks,94.0,New Orleans Jazz,96.0,Box Score,,,,
402,Los Angeles Lakers,110.0,Philadelphia 76ers,123.0,Box Score,,,,
403,Indiana Pacers,114.0,Washington Bullets,146.0,Box Score,,,,
404,Houston Rockets,83.0,Atlanta Hawks,106.0,Box Score,,,,
405,Phoenix Suns,107.0,Buffalo Braves,97.0,Box Score,,,,
406,San Antonio Spurs,109.0,Cleveland Cavaliers,107.0,Box Score,OT,,,
407,New York Knicks,100.0,Kansas City Kings,93.0,Box Score,,,,
408,Detroit Pistons,105.0,Portland Trail Blazers,109.0,Box Score,,,,
409,Chicago Bulls,104.0,Denver Nuggets,109.0,Box Score,,,,
410,Los Angeles Lakers,103.0,Indiana Pacers,104.0,Box Score,,,,
411,Kansas City Kings,123.0,Milwaukee Bucks,133.0,Box Score,,,,
412,Washington Bullets,99.0,New Jersey Nets,98.0,Box Score,,,,
413,Boston Celtics,91.0,Philadelphia 76ers,94.0,Box Score,,,,
414,New Orleans Jazz,100.0,Portland Trail Blazers,122.0,Box Score,,,,
415,Golden State Warriors,91.0,Seattle SuperSonics,99.0,Box Score,,,,
416,Los Angeles Lakers,106.0,Chicago Bulls,110.0,Box Score,,,,
417,New Orleans Jazz,110.0,Denver Nuggets,115.0,Box Score,OT,,,
418,Indiana Pacers,103.0,Milwaukee Bucks,125.0,Box Score,,,,
419,Houston Rockets,80.0,Philadelphia 76ers,95.0,Box Score,,,,
420,New York Knicks,113.0,Portland Trail Blazers,126.0,Box Score,,,,
421,Kansas City Kings,115.0,Washington Bullets,123.0,Box Score,,,,
422,Washington Bullets,95.0,Atlanta Hawks,100.0,Box Score,,,,"at Charlotte, NC"
423,Houston Rockets,88.0,Boston Celtics,91.0,Box Score,,,,
424,Los Angeles Lakers,94.0,Kansas City Kings,102.0,Box Score,,,,
425,Golden State Warriors,103.0,New Jersey Nets,92.0,Box Score,,,,
426,New Orleans Jazz,99.0,Phoenix Suns,142.0,Box Score,,,,
427,Milwaukee Bucks,106.0,San Antonio Spurs,130.0,Box Score,,,,
428,Detroit Pistons,100.0,Seattle SuperSonics,106.0,Box Score,,,,
429,Indiana Pacers,92.0,Buffalo Braves,111.0,Box Score,,,,
430,Denver Nuggets,109.0,Houston Rockets,106.0,Box Score,,,,
431,San Antonio Spurs,98.0,Atlanta Hawks,92.0,Box Score,,,,
432,New Jersey Nets,111.0,Boston Celtics,114.0,Box Score,OT,,,
433,Milwaukee Bucks,111.0,Chicago Bulls,128.0,Box Score,,,,
434,New York Knicks,96.0,Golden State Warriors,109.0,Box Score,,,,
435,Kansas City Kings,106.0,Indiana Pacers,108.0,Box Score,,,,
436,Buffalo Braves,93.0,Philadelphia 76ers,118.0,Box Score,,,,
437,Detroit Pistons,100.0,Phoenix Suns,111.0,Box Score,,,,
438,Cleveland Cavaliers,98.0,Seattle SuperSonics,104.0,Box Score,,,,
439,Portland Trail Blazers,93.0,Washington Bullets,102.0,Box Score,,,,
440,Washington Bullets,93.0,Buffalo Braves,130.0,Box Score,,,,
441,Los Angeles Lakers,112.0,Denver Nuggets,123.0,Box Score,,,,
442,New Orleans Jazz,118.0,Golden State Warriors,111.0,Box Score,,,,
443,San Antonio Spurs,93.0,Houston Rockets,104.0,Box Score,,,,
444,Atlanta Hawks,101.0,Kansas City Kings,110.0,Box Score,,,,
445,Philadelphia 76ers,136.0,New Jersey Nets,120.0,Box Score,,,,
446,Portland Trail Blazers,107.0,Boston Celtics,103.0,Box Score,OT,,,
447,Chicago Bulls,107.0,Detroit Pistons,101.0,Box Score,,,,
448,Cleveland Cavaliers,104.0,Phoenix Suns,113.0,Box Score,,,,
449,New York Knicks,102.0,Seattle SuperSonics,108.0,Box Score,,,,
450,New Jersey Nets,112.0,Indiana Pacers,120.0,Box Score,OT,,,
451,Kansas City Kings,90.0,Atlanta Hawks,111.0,Box Score,,,,
452,Portland Trail Blazers,96.0,Buffalo Braves,94.0,Box Score,,,,
453,Indiana Pacers,104.0,Chicago Bulls,105.0,Box Score,,,,
454,Cleveland Cavaliers,89.0,Denver Nuggets,104.0,Box Score,,,,
455,New York Knicks,108.0,Los Angeles Lakers,121.0,Box Score,,,,
456,New Jersey Nets,109.0,Milwaukee Bucks,119.0,Box Score,,,,
457,Houston Rockets,95.0,New Orleans Jazz,99.0,Box Score,,,,
458,Seattle SuperSonics,113.0,San Antonio Spurs,119.0,Box Score,,,,
459,New Orleans Jazz,108.0,Atlanta Hawks,106.0,Box Score,,,,"at Charlotte, NC"
460,Milwaukee Bucks,116.0,Boston Celtics,130.0,Box Score,,,,
461,Buffalo Braves,100.0,Detroit Pistons,113.0,Box Score,,,,
462,Washington Bullets,106.0,Golden State Warriors,113.0,Box Score,,,,
463,Seattle SuperSonics,106.0,Houston Rockets,104.0,Box Score,,,,
464,San Antonio Spurs,109.0,Indiana Pacers,96.0,Box Score,,,,
465,Philadelphia 76ers,126.0,Kansas City Kings,106.0,Box Score,,,,
466,Portland Trail Blazers,127.0,New Jersey Nets,101.0,Box Score,,,,
467,Chicago Bulls,105.0,Atlanta Hawks,95.0,Box Score,,,,
468,Philadelphia 76ers,109.0,Cleveland Cavaliers,117.0,Box Score,,,,
469,Denver Nuggets,109.0,Milwaukee Bucks,114.0,Box Score,,,,
470,New York Knicks,114.0,Phoenix Suns,134.0,Box Score,,,,
471,Phoenix Suns,104.0,Golden State Warriors,119.0,Box Score,,,,
472,Detroit Pistons,108.0,Houston Rockets,118.0,Box Score,,,,
473,Washington Bullets,99.0,Los Angeles Lakers,121.0,Box Score,,,,
474,Portland Trail Blazers,100.0,New Orleans Jazz,101.0,Box Score,,,,
475,Indiana Pacers,82.0,San Antonio Spurs,112.0,Box Score,,,,
476,Indiana Pacers,100.0,Atlanta Hawks,111.0,Box Score,,,,
477,Seattle SuperSonics,103.0,Boston Celtics,92.0,Box Score,,,,
478,Atlanta Hawks,89.0,Cleveland Cavaliers,93.0,Box Score,,,,
479,New York Knicks,143.0,Denver Nuggets,141.0,Box Score,OT,,,
480,Buffalo Braves,90.0,Indiana Pacers,99.0,Box Score,,,,
481,Houston Rockets,101.0,Los Angeles Lakers,106.0,Box Score,,,,
482,Chicago Bulls,90.0,Milwaukee Bucks,112.0,Box Score,,,,
483,Kansas City Kings,105.0,New Jersey Nets,97.0,Box Score,,"2,632",,
484,Detroit Pistons,97.0,New Orleans Jazz,100.0,Box Score,,,,
485,Golden State Warriors,87.0,Philadelphia 76ers,99.0,Box Score,,,,
486,Washington Bullets,101.0,Phoenix Suns,114.0,Box Score,,,,
487,Portland Trail Blazers,95.0,San Antonio Spurs,106.0,Box Score,,,,
488,Denver Nuggets,114.0,Chicago Bulls,131.0,Box Score,,,,
489,Cleveland Cavaliers,96.0,Indiana Pacers,92.0,Box Score,,,,
490,Portland Trail Blazers,120.0,Kansas City Kings,97.0,Box Score,,,,
491,Philadelphia 76ers,102.0,Los Angeles Lakers,117.0,Box Score,,,,
492,Boston Celtics,91.0,New Orleans Jazz,96.0,Box Score,,,,
493,Golden State Warriors,97.0,New York Knicks,99.0,Box Score,,,,
494,Detroit Pistons,104.0,Washington Bullets,101.0,Box Score,,,,
495,Buffalo Braves,119.0,Denver Nuggets,121.0,Box Score,OT,,,
496,Golden State Warriors,95.0,Detroit Pistons,99.0,Box Score,,,,
497,Houston Rockets,96.0,Phoenix Suns,118.0,Box Score,,,,
498,Boston Celtics,103.0,San Antonio Spurs,113.0,Box Score,,,,
499,Philadelphia 76ers,128.0,Seattle SuperSonics,125.0,Box Score,,,,
500,Kansas City Kings,105.0,New York Knicks,112.0,Box Score,,,,
501,New Jersey Nets,77.0,Portland Trail Blazers,112.0,Box Score,,,,
502,Chicago Bulls,107.0,Washington Bullets,135.0,Box Score,,,,
503,New York Knicks,96.0,Atlanta Hawks,105.0,Box Score,,,,
504,Golden State Warriors,101.0,Buffalo Braves,94.0,Box Score,,,,
505,Houston Rockets,100.0,Denver Nuggets,105.0,Box Score,,,,
506,Milwaukee Bucks,114.0,Los Angeles Lakers,131.0,Box Score,,,,
507,Kansas City Kings,117.0,New Orleans Jazz,134.0,Box Score,,,,
508,Philadelphia 76ers,101.0,Phoenix Suns,110.0,Box Score,,,,
509,New Jersey Nets,90.0,Seattle SuperSonics,95.0,Box Score,,,,
510,Detroit Pistons,115.0,Cleveland Cavaliers,105.0,Box Score,,,,
511,Chicago Bulls,96.0,New York Knicks,108.0,Box Score,,,,
512,Buffalo Braves,102.0,Atlanta Hawks,107.0,Box Score,,,,
513,Golden State Warriors,99.0,Boston Celtics,88.0,Box Score,,,,
514,Philadelphia 76ers,118.0,Denver Nuggets,117.0,Box Score,,,,
515,Cleveland Cavaliers,116.0,Detroit Pistons,120.0,Box Score,OT,,,
516,New Orleans Jazz,107.0,Indiana Pacers,91.0,Box Score,,,,
517,San Antonio Spurs,127.0,Kansas City Kings,113.0,Box Score,,,,
518,New Jersey Nets,100.0,Phoenix Suns,131.0,Box Score,,,,
519,Houston Rockets,88.0,Portland Trail Blazers,123.0,Box Score,,,,
520,Milwaukee Bucks,101.0,Seattle SuperSonics,103.0,Box Score,,,,
521,Los Angeles Lakers,112.0,Washington Bullets,119.0,Box Score,,,,
522,Indiana Pacers,94.0,Boston Celtics,104.0,Box Score,,,,"at Springfield, MA"
523,Atlanta Hawks,103.0,Chicago Bulls,106.0,Box Score,OT,,,
524,Los Angeles Lakers,116.0,Cleveland Cavaliers,107.0,Box Score,,,,
525,New Jersey Nets,92.0,Golden State Warriors,103.0,Box Score,,,,
526,Phoenix Suns,112.0,Kansas City Kings,102.0,Box Score,,,,
527,Buffalo Braves,95.0,New Orleans Jazz,114.0,Box Score,,,,
528,Denver Nuggets,119.0,New York Knicks,115.0,Box Score,,,,
529,Milwaukee Bucks,116.0,Portland Trail Blazers,136.0,Box Score,,,,
530,Washington Bullets,109.0,San Antonio Spurs,129.0,Box Score,,,,
532,Los Angeles Lakers,100.0,Boston Celtics,103.0,Box Score,OT,,,
533,Phoenix Suns,120.0,Detroit Pistons,127.0,Box Score,,,,
534,New Jersey Nets,103.0,Houston Rockets,124.0,Box Score,,,,
535,Chicago Bulls,111.0,New Orleans Jazz,117.0,Box Score,,,,
536,Denver Nuggets,101.0,Philadelphia 76ers,104.0,Box Score,,,,
537,Washington Bullets,93.0,Cleveland Cavaliers,110.0,Box Score,,,,
538,Milwaukee Bucks,102.0,Golden State Warriors,105.0,Box Score,,,,
539,Atlanta Hawks,107.0,Indiana Pacers,105.0,Box Score,,,,
540,Detroit Pistons,101.0,Kansas City Kings,113.0,Box Score,,,,
541,New York Knicks,113.0,San Antonio Spurs,123.0,Box Score,,,,
542,Washington Bullets,94.0,Boston Celtics,116.0,Box Score,,,,
543,Cleveland Cavaliers,104.0,Buffalo Braves,101.0,Box Score,,,,
544,San Antonio Spurs,107.0,Chicago Bulls,110.0,Box Score,,,,
545,Detroit Pistons,102.0,Denver Nuggets,115.0,Box Score,,,,
546,New York Knicks,102.0,Houston Rockets,112.0,Box Score,,,,
547,Los Angeles Lakers,105.0,New Jersey Nets,99.0,Box Score,OT,,,
548,Indiana Pacers,104.0,Philadelphia 76ers,116.0,Box Score,,,,
549,Milwaukee Bucks,105.0,Phoenix Suns,115.0,Box Score,,,,
550,Golden State Warriors,92.0,Portland Trail Blazers,112.0,Box Score,,,,
551,Los Angeles Lakers,132.0,Buffalo Braves,105.0,Box Score,,,,
552,Philadelphia 76ers,106.0,Chicago Bulls,108.0,Box Score,,,,
553,New Orleans Jazz,99.0,Cleveland Cavaliers,122.0,Box Score,,,,
554,Washington Bullets,102.0,Golden State Warriors,105.0,Box Score,,,,
555,Boston Celtics,92.0,Indiana Pacers,89.0,Box Score,,,,
556,Atlanta Hawks,109.0,Denver Nuggets,114.0,Box Score,,,,
557,Los Angeles Lakers,105.0,Detroit Pistons,95.0,Box Score,,,,
558,Chicago Bulls,101.0,Houston Rockets,105.0,Box Score,,,,
559,Boston Celtics,100.0,Kansas City Kings,104.0,Box Score,,,,
560,Buffalo Braves,103.0,Milwaukee Bucks,104.0,Box Score,,,,
561,Indiana Pacers,138.0,New Jersey Nets,140.0,Box Score,OT,,,
562,New Orleans Jazz,104.0,Philadelphia 76ers,117.0,Box Score,,,,
563,Washington Bullets,106.0,Seattle SuperSonics,100.0,Box Score,,,,
564,Portland Trail Blazers,94.0,Cleveland Cavaliers,88.0,Box Score,,,,
565,Denver Nuggets,108.0,Golden State Warriors,119.0,Box Score,,,,
566,Indiana Pacers,117.0,New York Knicks,126.0,Box Score,,,,
567,Atlanta Hawks,98.0,Phoenix Suns,125.0,Box Score,,,,
568,Houston Rockets,94.0,San Antonio Spurs,104.0,Box Score,,,,
569,Philadelphia 76ers,110.0,Buffalo Braves,116.0,Box Score,,,,
570,San Antonio Spurs,125.0,Houston Rockets,114.0,Box Score,,,,
571,Portland Trail Blazers,112.0,Indiana Pacers,108.0,Box Score,,,,
572,Chicago Bulls,93.0,Kansas City Kings,106.0,Box Score,,,,
573,Golden State Warriors,107.0,Los Angeles Lakers,135.0,Box Score,,,,
574,Cleveland Cavaliers,98.0,Milwaukee Bucks,108.0,Box Score,OT,,,
575,Detroit Pistons,112.0,New Jersey Nets,117.0,Box Score,,,,
576,Denver Nuggets,123.0,Seattle SuperSonics,126.0,Box Score,OT,,,
577,Kansas City Kings,95.0,Chicago Bulls,90.0,Box Score,,,,
578,New Orleans Jazz,96.0,Detroit Pistons,106.0,Box Score,,,,
579,San Antonio Spurs,131.0,Golden State Warriors,122.0,Box Score,OT,,,
580,Milwaukee Bucks,122.0,New York Knicks,133.0,Box Score,,,,
581,Chicago Bulls,94.0,Indiana Pacers,111.0,Box Score,,,,
582,Cleveland Cavaliers,88.0,Kansas City Kings,101.0,Box Score,,,,
583,Atlanta Hawks,116.0,Los Angeles Lakers,103.0,Box Score,,,,
584,New York Knicks,110.0,New Jersey Nets,112.0,Box Score,,,,
585,Houston Rockets,119.0,New Orleans Jazz,112.0,Box Score,,,,
586,Seattle SuperSonics,99.0,Philadelphia 76ers,109.0,Box Score,,,,
587,Washington Bullets,109.0,Phoenix Suns,121.0,Box Score,,,,
588,Denver Nuggets,103.0,Portland Trail Blazers,101.0,Box Score,,,,
589,New Jersey Nets,115.0,Detroit Pistons,125.0,Box Score,,,,
590,Seattle SuperSonics,100.0,Buffalo Braves,101.0,Box Score,,,,
591,New Orleans Jazz,95.0,Chicago Bulls,102.0,Box Score,,,,
592,New York Knicks,127.0,Cleveland Cavaliers,136.0,Box Score,2OT,,,
593,Washington Bullets,98.0,Denver Nuggets,103.0,Box Score,,,,
594,Boston Celtics,98.0,Golden State Warriors,75.0,Box Score,,,,
595,Philadelphia 76ers,119.0,Indiana Pacers,116.0,Box Score,,,,
596,Houston Rockets,102.0,Kansas City Kings,125.0,Box Score,,,,
597,San Antonio Spurs,114.0,Los Angeles Lakers,128.0,Box Score,,,,
598,Phoenix Suns,100.0,Portland Trail Blazers,113.0,Box Score,,,,
599,Philadelphia 76ers,116.0,Detroit Pistons,113.0,Box Score,,,,
600,Indiana Pacers,122.0,Houston Rockets,126.0,Box Score,,,,
601,New Orleans Jazz,99.0,Milwaukee Bucks,112.0,Box Score,,,,
602,Atlanta Hawks,99.0,Portland Trail Blazers,102.0,Box Score,,,,
603,Denver Nuggets,87.0,Cleveland Cavaliers,119.0,Box Score,,,,
604,Seattle SuperSonics,92.0,New Jersey Nets,101.0,Box Score,,,,
605,Boston Celtics,98.0,Phoenix Suns,95.0,Box Score,,,,
606,Buffalo Braves,109.0,Washington Bullets,123.0,Box Score,,,,
607,Kansas City Kings,108.0,Buffalo Braves,100.0,Box Score,,,,
608,Seattle SuperSonics,106.0,Chicago Bulls,98.0,Box Score,,,,
609,Portland Trail Blazers,105.0,Denver Nuggets,112.0,Box Score,,,,
610,New York Knicks,128.0,Detroit Pistons,108.0,Box Score,,,,
611,Phoenix Suns,92.0,Golden State Warriors,111.0,Box Score,,,,
612,Washington Bullets,111.0,Indiana Pacers,123.0,Box Score,,,,
613,Boston Celtics,106.0,Los Angeles Lakers,114.0,Box Score,,,,
614,Houston Rockets,98.0,Milwaukee Bucks,115.0,Box Score,,,,
615,Cleveland Cavaliers,99.0,New Jersey Nets,96.0,Box Score,,,,
616,Atlanta Hawks,111.0,New Orleans Jazz,102.0,Box Score,,,,"at Baton Rouge, LA"
617,San Antonio Spurs,116.0,Philadelphia 76ers,125.0,Box Score,,,,
618,Kansas City Kings,101.0,Cleveland Cavaliers,105.0,Box Score,,,,
619,Atlanta Hawks,112.0,Houston Rockets,121.0,Box Score,,,,
620,Buffalo Braves,122.0,New York Knicks,112.0,Box Score,,,,
621,Indiana Pacers,101.0,Phoenix Suns,114.0,Box Score,,,,
622,Chicago Bulls,103.0,San Antonio Spurs,124.0,Box Score,,,,
623,Boston Celtics,115.0,Denver Nuggets,118.0,Box Score,,,,
624,Kansas City Kings,107.0,Detroit Pistons,110.0,Box Score,,,,
625,Los Angeles Lakers,115.0,Golden State Warriors,93.0,Box Score,,,,
626,Seattle SuperSonics,108.0,Milwaukee Bucks,103.0,Box Score,,,,
627,New Jersey Nets,110.0,Philadelphia 76ers,120.0,Box Score,,,,
628,Indiana Pacers,104.0,Portland Trail Blazers,127.0,Box Score,,,,
629,New Orleans Jazz,111.0,Washington Bullets,130.0,Box Score,,,,
630,Cleveland Cavaliers,95.0,Chicago Bulls,106.0,Box Score,,,,
631,Phoenix Suns,114.0,Buffalo Braves,111.0,Box Score,,,,
632,Los Angeles Lakers,106.0,Chicago Bulls,104.0,Box Score,,,,
633,Philadelphia 76ers,127.0,Cleveland Cavaliers,114.0,Box Score,,,,
634,Boston Celtics,96.0,Houston Rockets,111.0,Box Score,,,,
635,Seattle SuperSonics,120.0,New York Knicks,122.0,Box Score,,,,
636,Portland Trail Blazers,118.0,San Antonio Spurs,114.0,Box Score,OT,,,
637,Phoenix Suns,95.0,Atlanta Hawks,107.0,Box Score,,,,"at Charlotte, NC"
638,Indiana Pacers,99.0,Denver Nuggets,96.0,Box Score,,,,
639,Houston Rockets,108.0,Detroit Pistons,119.0,Box Score,,,,
640,Los Angeles Lakers,122.0,Kansas City Kings,127.0,Box Score,OT,,,
641,Seattle SuperSonics,94.0,New Jersey Nets,83.0,Box Score,,,,
642,Golden State Warriors,91.0,New Orleans Jazz,116.0,Box Score,,,,
643,Portland Trail Blazers,105.0,Washington Bullets,97.0,Box Score,,,,
644,Atlanta Hawks,105.0,San Antonio Spurs,118.0,Box Score,,,,
645,Golden State Warriors,97.0,Atlanta Hawks,96.0,Box Score,,,,
646,Boston Celtics,106.0,Buffalo Braves,99.0,Box Score,,,,
647,Milwaukee Bucks,112.0,Chicago Bulls,109.0,Box Score,OT,,,
648,Portland Trail Blazers,107.0,Kansas City Kings,96.0,Box Score,,,,
649,Denver Nuggets,99.0,Los Angeles Lakers,109.0,Box Score,,,,
650,Houston Rockets,112.0,New Jersey Nets,126.0,Box Score,,,,
651,Cleveland Cavaliers,98.0,New Orleans Jazz,101.0,Box Score,,,,
652,Phoenix Suns,120.0,Washington Bullets,121.0,Box Score,OT,,,
653,Houston Rockets,110.0,Buffalo Braves,106.0,Box Score,,,,
654,Philadelphia 76ers,115.0,Denver Nuggets,124.0,Box Score,,,,
655,Phoenix Suns,115.0,New York Knicks,122.0,Box Score,,,,
656,Cleveland Cavaliers,108.0,San Antonio Spurs,112.0,Box Score,,,,
657,Detroit Pistons,104.0,Seattle SuperSonics,118.0,Box Score,,,,
658,Buffalo Braves,117.0,Atlanta Hawks,119.0,Box Score,,,,
659,Portland Trail Blazers,100.0,Chicago Bulls,99.0,Box Score,,,,
660,Detroit Pistons,127.0,Los Angeles Lakers,124.0,Box Score,,,,
661,Boston Celtics,94.0,New Jersey Nets,92.0,Box Score,,,,
662,Milwaukee Bucks,122.0,New Orleans Jazz,120.0,Box Score,OT,,,
663,Philadelphia 76ers,97.0,Seattle SuperSonics,99.0,Box Score,,,,
664,Golden State Warriors,110.0,Washington Bullets,121.0,Box Score,,,,
665,Cleveland Cavaliers,110.0,Houston Rockets,97.0,Box Score,,,,
666,Boston Celtics,85.0,Atlanta Hawks,117.0,Box Score,,,,
667,Phoenix Suns,115.0,Chicago Bulls,126.0,Box Score,,,,
668,Denver Nuggets,122.0,Indiana Pacers,106.0,Box Score,,,,
669,Seattle SuperSonics,114.0,Kansas City Kings,107.0,Box Score,OT,,,
670,Washington Bullets,135.0,Milwaukee Bucks,136.0,Box Score,OT,,,
671,Buffalo Braves,108.0,New Orleans Jazz,125.0,Box Score,,,,
672,San Antonio Spurs,123.0,New York Knicks,138.0,Box Score,,,,
673,Philadelphia 76ers,92.0,Portland Trail Blazers,113.0,Box Score,,,,
675,Cleveland Cavaliers,110.0,Denver Nuggets,104.0,Box Score,,,,
676,Philadelphia 76ers,125.0,Golden State Warriors,119.0,Box Score,,,,
677,Buffalo Braves,114.0,Houston Rockets,104.0,Box Score,,,,
678,Atlanta Hawks,95.0,New Jersey Nets,97.0,Box Score,,,,
679,Boston Celtics,100.0,New Orleans Jazz,101.0,Box Score,,,,
680,Detroit Pistons,115.0,Phoenix Suns,102.0,Box Score,,,,
681,San Antonio Spurs,110.0,Washington Bullets,125.0,Box Score,,,,
682,Portland Trail Blazers,117.0,New York Knicks,128.0,Box Score,,,,
683,Buffalo Braves,107.0,San Antonio Spurs,128.0,Box Score,,,,
684,Houston Rockets,110.0,Atlanta Hawks,133.0,Box Score,,,,
685,New Orleans Jazz,113.0,Boston Celtics,116.0,Box Score,,,,
686,Washington Bullets,124.0,Detroit Pistons,108.0,Box Score,,,,
687,Seattle SuperSonics,111.0,Indiana Pacers,115.0,Box Score,,,,
688,Philadelphia 76ers,95.0,Los Angeles Lakers,96.0,Box Score,,,,
689,Milwaukee Bucks,126.0,Phoenix Suns,132.0,Box Score,,,,
690,New Jersey Nets,107.0,Buffalo Braves,111.0,Box Score,,,,
691,Kansas City Kings,114.0,Denver Nuggets,123.0,Box Score,,,,
692,Seattle SuperSonics,104.0,New Orleans Jazz,113.0,Box Score,,,,
693,Boston Celtics,91.0,New York Knicks,99.0,Box Score,,,,
694,Cleveland Cavaliers,100.0,Portland Trail Blazers,105.0,Box Score,,,,
695,Seattle SuperSonics,94.0,Atlanta Hawks,101.0,Box Score,,,,
696,New York Knicks,94.0,Boston Celtics,112.0,Box Score,,,,
697,Indiana Pacers,110.0,Detroit Pistons,122.0,Box Score,,,,
698,Chicago Bulls,96.0,Golden State Warriors,95.0,Box Score,,,,
699,Cleveland Cavaliers,117.0,Los Angeles Lakers,128.0,Box Score,,,,
700,Buffalo Braves,103.0,New Jersey Nets,109.0,Box Score,,,,
701,Philadelphia 76ers,104.0,Phoenix Suns,92.0,Box Score,,,,
702,Milwaukee Bucks,88.0,Portland Trail Blazers,126.0,Box Score,,,,
703,New Orleans Jazz,97.0,San Antonio Spurs,98.0,Box Score,,,,
704,Houston Rockets,88.0,Washington Bullets,106.0,Box Score,,,,
705,Indiana Pacers,88.0,Kansas City Kings,98.0,Box Score,,,,
706,Detroit Pistons,109.0,Atlanta Hawks,123.0,Box Score,,,,
707,Phoenix Suns,126.0,Denver Nuggets,112.0,Box Score,,,,
708,Portland Trail Blazers,82.0,New Orleans Jazz,84.0,Box Score,,,,
709,Houston Rockets,101.0,New York Knicks,112.0,Box Score,,,,
710,New Jersey Nets,98.0,San Antonio Spurs,129.0,Box Score,,,,
711,New Orleans Jazz,108.0,Buffalo Braves,120.0,Box Score,,,,
712,Cleveland Cavaliers,108.0,Golden State Warriors,118.0,Box Score,,,,
713,Portland Trail Blazers,97.0,Houston Rockets,94.0,Box Score,,,,
714,New Jersey Nets,123.0,Kansas City Kings,121.0,Box Score,,,,
715,New York Knicks,125.0,Milwaukee Bucks,127.0,Box Score,2OT,,,
716,Atlanta Hawks,97.0,Philadelphia 76ers,108.0,Box Score,,,,
717,Seattle SuperSonics,95.0,San Antonio Spurs,94.0,Box Score,,,,
718,Detroit Pistons,105.0,Indiana Pacers,112.0,Box Score,,,,
719,Chicago Bulls,103.0,Phoenix Suns,112.0,Box Score,,,,
720,Portland Trail Blazers,105.0,Atlanta Hawks,114.0,Box Score,,,,
721,Cleveland Cavaliers,117.0,Buffalo Braves,118.0,Box Score,,,,
722,Washington Bullets,117.0,Houston Rockets,114.0,Box Score,,,,
723,New York Knicks,115.0,Indiana Pacers,122.0,Box Score,,,,
724,Denver Nuggets,120.0,Kansas City Kings,126.0,Box Score,,,,
725,Chicago Bulls,109.0,Los Angeles Lakers,115.0,Box Score,,,,
726,Golden State Warriors,124.0,Milwaukee Bucks,102.0,Box Score,,,,
727,New Orleans Jazz,105.0,New Jersey Nets,99.0,Box Score,,,,
728,Boston Celtics,109.0,Philadelphia 76ers,120.0,Box Score,,,,
729,Seattle SuperSonics,93.0,Houston Rockets,91.0,Box Score,,,,
730,New Jersey Nets,117.0,New York Knicks,126.0,Box Score,,,,
731,Los Angeles Lakers,114.0,Phoenix Suns,120.0,Box Score,,,,
