,0,1,2,3,4,5,6,7,8
84,Indiana Pacers,99.0,Los Angeles Lakers,111.0,Box Score,,,,
85,Houston Rockets,108.0,Milwaukee Bucks,110.0,Box Score,,,,
86,Philadelphia 76ers,107.0,New Jersey Nets,104.0,Box Score,,,,
87,Golden State Warriors,102.0,New Orleans Jazz,105.0,Box Score,,,,
88,New York Knicks,95.0,Seattle SuperSonics,92.0,Box Score,,,,
89,Phoenix Suns,96.0,Washington Bullets,113.0,Box Score,,,,
90,Golden State Warriors,94.0,Atlanta Hawks,100.0,Box Score,,,,
91,San Antonio Spurs,111.0,Buffalo Braves,101.0,Box Score,,,,
92,Phoenix Suns,94.0,Chicago Bulls,111.0,Box Score,,,,
93,New Jersey Nets,93.0,Cleveland Cavaliers,105.0,Box Score,,,,
94,Washington Bullets,105.0,Houston Rockets,116.0,Box Score,,,,
95,Denver Nuggets,101.0,Philadelphia 76ers,132.0,Box Score,,,,
96,Seattle SuperSonics,94.0,Portland Trail Blazers,116.0,Box Score,,,,
97,New York Knicks,106.0,Los Angeles Lakers,102.0,Box Score,,,,
98,Washington Bullets,108.0,New Orleans Jazz,97.0,Box Score,,,,
99,Indiana Pacers,106.0,Portland Trail Blazers,108.0,Box Score,,,,
100,Kansas City Kings,99.0,Seattle SuperSonics,83.0,Box Score,,,,
101,Houston Rockets,104.0,Chicago Bulls,117.0,Box Score,,,,
102,Denver Nuggets,111.0,Milwaukee Bucks,101.0,Box Score,,,,
103,San Antonio Spurs,117.0,New York Knicks,123.0,Box Score,,,,
104,Kansas City Kings,104.0,Portland Trail Blazers,130.0,Box Score,,,,
105,San Antonio Spurs,129.0,Boston Celtics,114.0,Box Score,,,,
106,New York Knicks,113.0,Buffalo Braves,124.0,Box Score,,,,
107,New Orleans Jazz,112.0,Denver Nuggets,115.0,Box Score,,,,
108,Houston Rockets,107.0,Detroit Pistons,127.0,Box Score,,,,
109,Indiana Pacers,129.0,Golden State Warriors,132.0,Box Score,,,,
110,New Jersey Nets,107.0,Philadelphia 76ers,130.0,Box Score,,,,
111,Atlanta Hawks,132.0,Houston Rockets,101.0,Box Score,,,,
112,New Orleans Jazz,111.0,Phoenix Suns,127.0,Box Score,,,,
113,Milwaukee Bucks,106.0,Washington Bullets,103.0,Box Score,,,,
114,Portland Trail Blazers,132.0,Atlanta Hawks,92.0,Box Score,,,,
115,Buffalo Braves,103.0,Boston Celtics,109.0,Box Score,,,,
116,San Antonio Spurs,107.0,Detroit Pistons,104.0,Box Score,,,,
117,Kansas City Kings,106.0,Golden State Warriors,105.0,Box Score,,,,
118,New Orleans Jazz,107.0,Los Angeles Lakers,123.0,Box Score,,,,
119,Cleveland Cavaliers,88.0,Milwaukee Bucks,82.0,Box Score,,,,
